Classification,Parent,Centroid X µm,Centroid Y µm
,Annotation,1319.2,107.72
,Annotation,1412.1,106.59
,Annotation,1476.9,108.1
,Annotation,1348.2,108.48
,Annotation,1452.2,114.44
,Annotation,1165.4,109.01
,Annotation,1534.4,110.28
,Annotation,1336.6,111.27
,Annotation,1419.9,113.04
,Annotation,1492.5,116.38
,Annotation,1429.5,114.79
,Annotation,1482.3,116.3
,Annotation,1325.5,119.2
,Annotation,1470.6,114.09
,Annotation,1527.9,115.73
,Annotation,1537.3,117.25
,Annotation,1344.5,116.34
,Annotation,1163,116.89
,Annotation,1407.2,117.2
,Annotation,1548.7,120.72
,Annotation,1262.3,118.12
,Annotation,1215.6,118.67
,Annotation,1437.5,120.53
,Annotation,1506,123.3
,Annotation,1473.8,124.33
,Annotation,1719,123.27
,Annotation,1270.9,123.36
,Annotation,1289.6,124.92
,Annotation,1530,124.32
,Annotation,1414.3,123.08
,Annotation,1343.5,124.01
,Annotation,1426.9,124.76
,Annotation,1540.5,125.85
,Annotation,1336.2,126.67
,Annotation,1219.4,127.95
,Annotation,1383.4,126.45
,Annotation,1420.4,131.09
,Annotation,1411.7,131.5
,Annotation,1328.3,133.85
,Annotation,1346,137.35
,Annotation,1386.2,132.72
,Annotation,1157.9,133.26
,Annotation,1510.2,136.96
,Annotation,1276.5,135.7
,Annotation,1472.6,133.92
,Annotation,1481.9,134.29
,Annotation,1549.2,136.59
,Annotation,1437.9,137.53
,Annotation,1334.8,134.96
,Annotation,1219.6,138.73
,Annotation,1485,141.63
,Annotation,1426.4,139.97
,Annotation,1524.2,140.32
,Annotation,1491,141.64
,Annotation,1639.5,142.32
,Annotation,1282.8,143.83
,Annotation,1516.3,144.68
,Annotation,1447.6,146.89
,Annotation,1495.7,147.81
,Annotation,1385.6,147.22
,Annotation,1419.1,146.51
,Annotation,1545.3,148.57
,Annotation,1526.5,151.9
,Annotation,1353.2,147.51
,Annotation,1598.6,150.68
,Annotation,1282,154.27
,Annotation,1556.7,152.29
,Annotation,1226.9,153.82
,Annotation,1348.9,152.28
,Annotation,1419.6,154.69
,Annotation,1389.7,155.53
,Annotation,1207.5,156.33
,Annotation,1454.1,156.61
,Annotation,1458.5,152.46
,Annotation,1360.6,154.92
,Annotation,1465.9,155.02
,Annotation,1295.5,159.65
,Annotation,1336.6,155.29
,Annotation,1351.7,158.48
,Annotation,1513.9,157.27
,Annotation,1427.1,164.34
,Annotation,1319.2,161.04
